from_customer;to_apl_100mN29649E43165;to_apl_100mN29661E43200;to_apl_100mN29630E43162;to_apl_100mN29665E43151;to_apl_100mN29606E43185;to_apl_100mN29633E43200;to_apl_100mN29671E43184;to_apl_100mN29638E43133;to_apl_100mN29611E43167;to_apl_100mN29644E43182;to_apl_100mN29645E43147;to_apl_100mN29683E43217;to_apl_100mN29641E43160;to_apl_100mN29631E43173;to_apl_100mN29655E43174;to_apl_100mN29631E43167;to_apl_100mN29617E43204;to_apl_100mN29658E43191;to_apl_100mN29684E43150;to_apl_100mN29638E43175;to_apl_100mN29647E43211;to_apl_100mN29643E43154;to_apl_100mN29608E43162;to_apl_100mN29648E43160;to_apl_100mN29660E43135;to_apl_100mN29658E43183;to_apl_100mN29622E43153;to_apl_100mN29637E43169;to_apl_100mN29678E43181;to_apl_100mN29621E43139;to_apl_100mN29682E43213;to_apl_100mN29677E43156;to_apl_100mN29624E43178;to_apl_100mN29608E43179;to_apl_100mN29655E43169;to_apl_100mN29646E43138;to_apl_100mN29652E43148;to_apl_100mN29667E43198;to_apl_100mN29677E43188;to_apl_100mN29644E43171;to_apl_100mN29636E43164;to_apl_100mN29655E43203;to_apl_100mN29634E43159;to_apl_100mN29646E43178;to_apl_100mN29628E43202;to_apl_100mN29664E43179;to_apl_100mN29625E43164;to_apl_100mN29663E43194;to_apl_100mN29599E43177;to_apl_100mN29647E43143;to_apl_100mN29667E43188;to_apl_100mN29610E43173;to_apl_100mN29606E43198;to_apl_100mN29633E43182;to_apl_100mN29654E43196;to_apl_100mN29653E43157;to_apl_100mN29665E43183;to_apl_100mN29629E43196;to_apl_100mN29637E43140;to_apl_100mN29682E43209
100mN29636E43162;1839.3;5580.5;572.2;4798.9;5387.4;4387.5;5022.2;3485.0;2781.1;2723.1;2387.6;8495.4;737.1;1469.8;3028.5;778.2;5907.6;4449.0;6453.0;1586.8;6080.8;1888.6;3217.4;1509.5;5097.4;3923.8;1995.8;1133.9;5875.9;3635.4;8070.6;5261.3;2408.9;3907.3;2581.4;3206.1;2627.2;5737.4;6025.0;1645.2;371.8;5788.0;383.6;2450.0;4545.0;4150.7;1081.5;5257.0;4876.0;2707.0;4850.8;3298.5;5226.3;2340.1;4946.5;2103.7;4351.5;3855.9;2430.7;7934.4
100mN29639E43161;1428.7;5299.3;920.7;4481.6;5735.9;4391.9;4649.5;3411.1;3129.6;2442.0;2194.3;8214.2;406.9;1575.4;2636.2;997.7;5984.1;4167.8;6135.7;1527.8;5799.7;1695.3;3566.0;1178.6;4898.7;3575.2;2362.2;951.0;5503.3;4001.8;7789.4;4944.0;2514.5;4255.8;2170.7;3012.8;2433.9;5456.3;5652.4;1310.1;401.8;5506.8;750.0;2168.8;4549.4;3764.7;1430.0;4975.9;5224.6;2513.7;4478.2;3647.1;5565.6;2344.4;4665.4;1834.6;3978.9;3860.2;2356.7;7653.2
100mN29642E43161;1047.8;5043.5;1282.9;4234.1;6098.1;4507.3;4268.7;3693.6;3491.8;2557.4;1994.4;7958.5;262.0;1768.6;2255.3;1359.9;6099.6;3912.0;5888.2;1643.2;5677.5;1495.4;3928.1;930.9;4698.9;3194.4;2681.5;1066.4;5122.4;4321.1;7533.6;4696.5;2779.6;4618.0;1789.9;2812.9;2234.1;5200.5;5271.5;1274.8;746.1;5251.1;1069.3;2229.4;4664.8;3383.8;1792.2;4720.1;5586.7;2313.8;4097.3;4009.2;5927.7;2459.9;4409.6;1586.8;3598.1;3975.7;2639.3;7397.5
100mN29645E43161;817.1;4902.3;1664.5;3934.6;6479.7;4653.4;4075.3;3641.9;3873.4;2505.1;1895.4;7817.2;566.0;2012.4;2061.9;1716.7;6343.4;3770.7;5588.7;1757.8;5522.7;1396.4;4309.8;648.6;4513.5;3001.0;3126.1;1310.2;4929.0;4765.7;7392.4;4397.0;3023.4;4999.6;1586.1;2713.9;2135.0;5059.2;5078.1;1125.7;1009.2;5109.8;1531.0;2074.5;4908.6;3190.4;2173.8;4578.8;5968.4;2214.7;3903.9;4390.9;6309.4;2703.7;4268.3;1311.0;3404.6;4219.5;3035.1;7256.2
100mN29648E43161;468.1;4669.2;1982.7;3563.1;6797.9;4624.0;3842.2;3624.5;4191.6;2432.5;1878.0;7584.1;769.1;2335.8;1784.9;2045.4;6606.6;3537.6;5217.2;1728.4;5375.7;1379.0;4627.9;288.4;4157.6;2767.9;3340.6;1633.6;4395.1;4786.2;7159.3;4025.5;3346.8;5317.8;1294.5;2696.5;1871.4;4826.1;4845.0;1096.3;1344.6;4876.7;1728.4;1927.5;4934.3;2925.2;2492.0;4345.7;6286.5;2197.3;3670.8;4709.0;6565.1;2922.6;4035.2;959.1;3171.5;4245.1;3017.7;7023.1
100mN29651E43161;417.9;4643.2;2293.4;3170.6;7108.6;4788.3;3752.6;3880.1;4502.3;2406.6;2133.6;7558.1;1162.4;2588.2;1652.9;2338.6;6770.8;3511.7;4824.7;1963.3;5349.7;1634.6;4938.6;351.6;4010.0;2741.9;3726.7;1933.3;4263.2;5041.8;7133.3;3633.0;3599.2;5628.5;1162.6;2952.1;1787.3;4800.2;4819.1;1331.2;1638.1;4850.7;2098.6;1901.6;5098.5;2793.2;2802.7;4319.8;6597.2;2423.3;3644.8;5019.7;6800.1;3157.5;4009.3;842.6;3145.6;4409.4;3273.3;6997.1
100mN29653E43161;706.7;4560.3;2673.8;2761.2;7489.1;4880.5;3636.2;3801.2;4882.8;2447.7;1966.3;7475.3;1531.4;2968.7;1536.5;2719.0;6863.0;3428.8;4415.3;2343.8;5371.8;1995.2;5319.1;722.6;3600.6;2637.7;4087.3;2313.7;4146.8;5327.8;7013.1;3223.7;3979.7;6008.9;1046.2;2776.7;1583.1;4717.3;4714.9;1535.5;2018.5;4767.8;2459.2;1942.7;5190.7;2676.8;3183.1;4236.9;6977.7;2219.4;3540.6;5400.2;7074.1;3538.0;3926.4;565.7;3027.5;4501.6;3268.1;6876.9
100mN29669E43162;2768.5;5423.0;4644.9;1997.8;9460.2;6538.7;3215.4;5506.1;6853.8;4107.1;3671.3;7178.7;3431.3;4878.4;2503.2;4721.9;8625.1;4596.0;2414.2;4253.5;6768.3;3705.7;7290.2;2658.4;3623.5;3135.8;5897.0;4220.3;3090.7;7032.7;6686.9;1222.5;5889.4;7980.0;2045.2;4481.6;3181.4;4821.0;3462.7;3323.1;4080.3;5889.1;4276.7;3602.1;6952.8;2596.1;5154.2;4659.6;8948.8;3921.1;3502.2;7371.3;8849.2;5447.7;5093.6;2171.7;2947.4;6263.7;4973.0;6081.4
100mN29598E43166;5786.4;8914.9;3641.9;8882.0;3636.0;6712.5;8593.8;6776.2;1402.6;5826.3;6208.0;11829.9;4807.4;3958.6;6650.1;3717.4;6825.5;7783.4;10536.1;4628.8;8620.9;5705.9;1723.8;5579.0;9187.5;7283.0;3639.7;4392.0;9447.5;5015.6;11405.0;9344.4;3874.2;2176.3;6390.8;6950.5;6481.7;9071.9;9582.3;5213.7;4299.1;9100.4;4269.0;5580.9;6699.4;7748.1;3084.3;8591.5;1983.2;6521.4;8408.1;1649.2;5774.8;4912.5;8113.1;6193.8;7923.1;6010.3;6139.6;11268.9
100mN29606E43164;5211.9;8340.5;3067.5;8307.6;3106.8;6138.0;8019.3;6149.6;816.5;5251.9;5633.6;11255.4;4232.9;3384.1;6075.7;3143.0;6275.9;7209.0;9961.7;4054.4;8046.4;5131.5;834.8;5004.6;8613.0;6708.5;3013.0;3817.6;8873.1;4290.3;10830.6;8770.0;3299.7;1626.6;5816.3;6376.1;5907.3;8497.4;9007.9;4639.3;3724.6;8526.0;3694.5;5006.5;6125.0;7173.7;2509.9;8017.0;2058.5;5947.0;7833.7;1099.6;5225.1;4338.1;7538.6;5619.3;7348.7;5435.8;5565.2;10694.4
100mN29609E43164;4885.3;8013.9;2740.8;7980.9;3171.3;5811.4;7692.7;5731.1;427.6;4925.2;5306.9;10928.8;3906.3;3057.5;5749.0;2816.3;6186.8;6882.4;9635.0;3727.8;7719.8;4804.8;436.2;4678.0;8286.4;6381.9;2594.5;3491.0;8546.4;3871.8;10504.0;8443.4;2973.1;1691.1;5489.7;6049.4;5580.7;8170.8;8681.3;4312.7;3398.0;8199.4;3367.9;4679.8;5798.3;6847.0;2183.2;7690.4;2123.0;5620.4;7507.1;1164.1;5289.6;4011.4;7212.0;5292.7;7022.1;5109.2;5238.6;10367.8
100mN29612E43164;4662.1;7790.7;2517.6;7757.8;3137.6;5588.2;7469.5;5546.8;327.6;4702.0;5083.7;10705.6;3683.1;2834.3;5525.9;2593.1;5963.7;6659.2;9411.9;3504.6;7496.6;4581.6;445.9;4454.8;8063.2;6158.7;2410.3;3267.8;8323.3;3687.5;10280.8;8220.2;2749.9;1657.5;5266.5;5826.3;5357.5;7947.6;8458.1;4089.5;3174.8;7976.2;3144.7;4456.6;5575.1;6623.9;1960.1;7467.2;2426.1;5397.2;7283.9;956.9;5108.8;3788.3;6988.8;5069.5;6798.9;4886.0;5015.4;10144.6
100mN29615E43165;4070.2;7198.8;1925.8;7165.9;3164.8;4996.3;6877.6;5060.1;387.5;4110.1;4491.9;10113.7;3091.2;2242.4;4934.0;2001.2;5371.8;6067.3;8820.0;2912.7;6904.7;3989.8;1037.8;3862.9;7471.3;5566.8;1923.6;2675.9;7731.4;3299.5;9688.9;7628.3;2158.0;1684.6;4674.6;5234.4;4765.6;7355.7;7866.2;3497.6;2582.9;7384.3;2552.8;3864.7;4983.3;6032.0;1368.2;6875.3;2508.1;4805.3;6692.0;984.1;4690.4;3196.4;6396.9;4477.6;6207.0;4294.1;4423.5;9552.7
100mN29617E43165;3891.5;6955.4;1747.0;6987.1;3429.4;4817.6;6634.2;4734.2;713.3;3866.8;4166.0;9870.4;2912.5;1999.1;4690.6;1801.2;5193.0;5823.9;8641.2;2669.3;6726.0;3663.9;1149.6;3684.2;7188.3;5323.5;1597.7;2432.5;7488.0;2973.7;9445.5;7449.5;1979.3;1949.3;4431.2;4908.5;4439.8;7112.4;7622.8;3254.2;2386.0;7140.9;2279.0;3621.4;4804.5;5788.6;1189.4;6632.0;2834.0;4479.5;6448.6;1248.7;4511.7;3017.6;6153.5;4256.7;5963.6;4115.4;4097.6;9309.3
100mN29624E43164;3002.4;6494.1;801.9;6098.1;4221.3;4446.9;6062.1;4701.6;1615.0;3405.4;3682.3;9409.0;2023.4;1537.7;4068.4;1139.7;4933.3;5362.6;7752.2;2208.0;6355.3;3183.3;2051.4;2795.1;6403.5;4844.5;1542.0;1953.6;6915.8;3181.6;8984.2;6560.5;1719.6;2741.2;3671.1;4458.2;3922.0;6651.0;7065.0;2685.1;1515.1;6679.6;1435.1;3160.0;4433.9;5190.7;244.3;6170.6;3710.0;4001.7;5890.7;2125.5;4252.0;2578.6;5692.2;3409.8;5391.5;3744.7;3647.3;8848.0
