from_apl;to_apl_100mN29650E43212;to_apl_100mN29637E43165;to_apl_100mN29656E43172;to_apl_100mN29658E43184;to_apl_100mN29644E43182;to_apl_100mN29624E43164;to_apl_100mN29630E43163;to_apl_100mN29650E43143;to_apl_100mN29633E43182;to_apl_100mN29644E43171;to_apl_100mN29626E43200;to_apl_100mN29647E43154;to_apl_100mN29649E43164;to_apl_100mN29640E43158;to_apl_100mN29632E43201;to_apl_100mN29659E43199;to_apl_100mN29654E43156;to_apl_100mN29664E43184;to_apl_100mN29654E43149;to_apl_100mN29634E43172;to_apl_100mN29659E43192;to_apl_100mN29607E43166;to_apl_100mN29616E43166;to_apl_100mN29611E43173;to_apl_100mN29670E43185;to_apl_100mN29610E43179;to_apl_100mN29665E43194;to_apl_100mN29644E43145;to_apl_100mN29625E43180;to_apl_100mN29645E43137;to_apl_100mN29676E43183;to_apl_100mN29655E43205;to_apl_100mN29653E43199;to_apl_100mN29679E43192;to_apl_100mN29653E43193;to_apl_100mN29680E43214;to_apl_100mN29665E43178;to_apl_100mN29628E43194;to_apl_100mN29607E43160;to_apl_100mN29609E43200;to_apl_hub
100mN29611E43173;8145.1;3411.4;5792.8;6993.3;4865.5;2107.3;2683.7;5907.3;3951.7;4253.0;5589.1;4757.9;4791.2;3874.5;5718.4;7805.9;5320.6;6892.5;5586.1;3135.7;6997.5;1085.7;992.1;0.0;7695.3;727.2;7669.0;5218.5;3119.7;6178.2;8171.1;7907.4;7130.8;9110.2;6801.6;10490.6;6918.3;5077.0;1665.3;4196.4;5956.2
100mN29670E43185;4087.4;4602.4;2376.2;1685.1;3563.1;5990.8;5319.9;5710.8;5217.1;3523.4;6232.4;5063.0;3582.2;4828.3;5455.1;2453.9;4273.4;1005.9;5015.3;4730.9;1849.1;7826.7;6860.3;7695.3;0.0;8164.8;1455.3;5851.7;5848.2;6597.3;814.3;3186.1;2967.4;1746.5;2543.8;3787.7;1155.4;5794.6;7896.9;7874.9;6946.9
100mN29610E43179;8614.6;3880.9;6262.3;7462.8;5335.0;2576.8;3153.2;6383.8;4421.2;4722.5;5644.4;5234.4;5260.7;4344.0;6187.9;8275.4;5790.1;7362.0;6062.5;3605.2;7467.0;1720.5;1575.2;727.2;8164.8;0.0;8138.5;5695.0;3589.2;6654.6;8640.6;8376.9;7600.3;9579.8;7271.1;10960.1;7387.8;5546.5;2347.4;3530.8;5290.6
100mN29665E43194;2760.2;4771.2;3090.1;1707.4;3305.5;6155.1;5484.1;6256.8;4766.7;3743.7;4970.1;5563.4;4118.1;5276.6;4198.0;1196.7;4988.0;1453.7;5729.9;4699.7;740.1;7800.3;6834.0;7669.0;1455.3;8138.5;0.0;6338.1;5392.7;7128.6;2127.9;1928.9;1710.2;2362.6;1286.6;2842.2;2103.8;4816.0;7870.6;7094.6;5689.7
100mN29644E43145;7419.7;2707.3;3578.5;5170.8;4331.5;3498.7;2897.9;688.8;4509.7;2952.2;6601.7;1189.2;2310.8;1878.3;6571.8;6475.0;1815.6;5070.0;1466.0;3556.5;5666.6;5275.9;4365.0;5218.5;5851.7;5695.0;6338.1;0.0;4785.4;997.4;5823.5;7004.9;6238.9;6784.7;5699.1;9159.7;4960.9;6076.9;5097.2;7368.5;7804.0
100mN29625E43180;5024.9;2277.5;4002.3;5146.2;2747.4;2013.1;2164.6;5245.8;1026.6;2649.2;2468.9;4056.3;3422.0;3029.5;2598.2;5145.8;4452.0;5045.4;4884.4;1428.5;4787.8;3251.1;2339.3;3119.7;5848.2;3589.2;5392.7;4785.4;0.0;5635.4;6324.0;5061.5;4284.9;7263.2;4135.3;7995.3;5071.2;1956.8;3321.3;3432.9;3707.8
100mN29645E43137;8224.1;3560.9;4324.1;5977.3;5135.9;4458.4;3857.6;1010.3;5314.1;3756.6;7406.1;1993.6;3115.2;2682.7;7376.2;7279.4;2561.3;5876.5;1965.4;4360.9;6471.0;6235.6;5324.7;6178.2;6597.3;6654.6;7128.6;997.4;5635.4;0.0;6569.2;7809.3;7043.3;7530.3;6503.5;9964.1;5706.5;6881.3;6056.8;8328.2;8608.4
100mN29676E43183;4760.1;5078.2;2851.9;2160.9;4038.9;6466.6;5795.7;5682.6;5692.9;3999.2;6708.2;5034.9;4058.0;5304.1;6127.8;3126.5;4245.2;1481.7;4987.2;5206.7;2521.7;8302.5;7336.1;8171.1;814.3;8640.6;2127.9;5823.5;6324.0;6569.2;0.0;3858.7;3640.1;986.8;3216.4;3941.6;1631.2;6270.4;8372.7;8350.6;7619.6
100mN29655E43205;951.1;5338.3;4168.1;3438.2;3270.0;6408.2;6051.2;6961.0;4435.5;4310.8;4412.0;6230.2;4785.0;5881.4;3573.9;900.4;5689.6;3184.4;6475.1;5081.0;1775.1;8038.7;7072.4;7907.4;3186.1;8376.9;1928.9;7004.9;5061.5;7809.3;3858.7;0.0;858.4;3567.3;1588.8;3519.9;3834.5;4257.9;8109.0;6066.2;4661.4
100mN29653E43199;1537.6;4561.7;3526.7;3219.5;2493.4;5631.6;5274.7;6287.4;3659.0;3534.2;3841.1;5464.2;4018.9;5104.9;3069.0;1247.5;5016.0;2965.8;5801.5;4304.5;1285.6;7262.2;6295.9;7130.8;2967.4;7600.3;1710.2;6238.9;4284.9;7043.3;3640.1;858.4;0.0;4075.9;997.9;4097.0;3615.9;3687.0;7332.4;5965.6;4560.7
100mN29679E43192;4393.6;6017.3;3791.1;2987.6;4978.1;7405.8;6734.9;6643.8;6632.0;4938.3;7332.7;5996.0;4997.2;6243.3;6560.6;3144.5;5206.4;2319.2;5948.3;6145.8;3100.8;9241.6;8275.3;9110.2;1746.5;9579.8;2362.6;6784.7;7263.2;7530.3;986.8;3567.3;4075.9;0.0;3649.2;2959.7;2570.4;7178.6;9311.8;9289.8;8052.3
100mN29653E43193;2413.7;4112.2;2862.3;2730.1;2044.0;5302.3;4825.2;5655.2;3509.3;3084.7;3784.1;4924.4;3479.2;4637.7;3012.0;1058.8;4383.8;2542.2;5169.3;3855.0;861.9;6932.9;5966.6;6801.6;2543.8;7271.1;1286.6;5699.1;4135.3;6503.5;3216.4;1588.8;997.9;3649.2;0.0;3899.4;3192.3;3630.0;7003.2;5872.9;4503.7
100mN29680E43214;3612.8;7592.8;5932.3;4549.5;5943.4;8976.7;8305.8;9115.8;7369.3;6565.3;7446.1;8385.0;6939.8;8098.3;6518.3;3097.1;7830.1;4295.8;8572.1;7521.4;3564.5;10622.0;9655.7;10490.6;3787.7;10960.1;2842.2;9159.7;7995.3;9964.1;3941.6;3519.9;4097.0;2959.7;3899.4;0.0;4764.6;7292.0;10692.2;9010.6;7605.7
100mN29665E43178;4735.9;3799.6;1485.4;1466.6;2830.5;5188.0;4517.1;4820.0;4413.3;2720.6;5611.5;4172.2;2691.4;4012.1;5505.6;3102.3;3382.6;898.6;4124.5;3953.8;2497.5;7049.6;6083.3;6918.3;1155.4;7387.8;2103.8;4960.9;5071.2;5706.5;1631.2;3834.5;3615.9;2570.4;3192.3;4764.6;0.0;5173.7;7119.9;7284.7;6813.8
100mN29628E43194;3679.2;3605.1;4299.9;5069.4;2643.3;3733.1;3884.6;6491.6;1858.8;3457.0;725.5;5302.2;4307.9;4417.4;964.2;4569.1;5377.5;4991.8;6151.3;2991.0;4391.3;5208.3;4296.6;5077.0;5794.6;5546.5;4816.0;6076.9;1956.8;6881.3;6270.4;4257.9;3687.0;7178.6;3630.0;7292.0;5173.7;0.0;5278.6;2603.3;1985.5
100mN29607E43160;8346.7;3613.0;5994.4;7194.9;5067.1;2308.9;2885.3;5786.0;4153.3;4454.5;5790.7;4636.6;4992.8;4056.6;5920.0;8007.5;5493.1;7094.1;5464.7;3337.3;7199.1;754.6;1498.5;1665.3;7896.9;2347.4;7870.6;5097.2;3321.3;6056.8;8372.7;8109.0;7332.4;9311.8;7003.2;10692.2;7119.9;5278.6;0.0;5406.2;7029.6
100mN29609E43200;5397.8;5186.8;6410.9;7149.7;4753.2;4135.3;4659.9;7951.9;3597.9;5511.2;2626.6;6762.4;6284.0;5717.4;3088.0;6847.8;7163.5;7072.0;7590.5;4488.8;6525.4;5189.8;4424.2;4196.4;7874.8;3530.8;7094.6;7368.5;3432.9;8328.2;8350.6;6066.2;5965.6;9289.8;5872.9;9010.6;7284.7;2603.3;5406.2;0.0;1789.2
hub;3992.9;5332.2;5940.0;6539.0;4283.4;5484.1;5635.6;8218.7;3585.9;5097.1;1542.1;7029.3;5948.0;6144.5;1683.1;5442.9;7017.6;6461.4;7791.4;4718.1;5265.0;6949.6;6047.6;5956.2;6946.9;5290.6;5689.7;7804.0;3707.8;8608.4;7619.6;4661.4;4560.7;8052.3;4503.7;7605.7;6813.8;1985.5;7029.6;1789.2;0.0
